,Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,GDP_zscore,Log_GDP
Country,1.0,-0.00963000818019784,0.8942361878141697,0.19824611589355876,-0.06198834259004509,0.022474478840721877,0.030479232603222373,-0.021330339320620586,-0.023104839618601027,-0.012853910523635296,0.14300369076234518,0.06922106376121503,0.6718418355883087,0.036798406334087326,-0.01400265077328442,-0.015611750129143375,0.04204086874376167,-0.1409740823228881,-0.10259998901982506,0.002006695611922642,-0.03598945066834982,-0.06408290644054643,0.06282672893486907,,0.23143289553581559,-0.08289662121810244,-0.05668577580069998,-0.06367230088778732,-0.01776172356400817,-0.13573544196851564,-0.16984276069351895,-0.1419162799263187,-0.06389401337390578,0.056847326988838764,0.10558192761015121,0.04204086874376158,0.04706526023728243
"Density
(P/Km2)",-0.00963000818019784,1.0,-0.06001022802943455,0.08269439786901676,-0.1737160885340148,0.08643132615613335,-0.19609916527696825,0.06807200387051257,-0.03126751806156903,-0.0007603531234081133,-0.06853938729580325,-0.11510684492636264,-0.152548446917065,-0.20863408328408217,-0.19632778465124032,0.22376813375875237,-0.015033997772709229,0.035456276479442154,-0.0280517374197038,-0.09905135420124327,-0.13352565591611287,0.18688930940400045,-0.07567886901831244,,-0.11485414038570804,0.18093191857164703,-0.002456560490471305,0.12363433754512572,-0.1027308518625535,0.11100265368750756,-0.08928527212950592,-0.17411551183023538,0.06260611540260368,0.10025500327379826,0.0995182239025108,-0.015033997772709223,0.03375645389348748
Abbreviation,0.8942361878141697,-0.06001022802943455,1.0,0.1148549933906014,-0.045739154802889044,0.014970819794431545,0.06820801746971142,0.06420173376500607,-0.04339201586908006,-0.02059127070073118,0.15515296049489954,0.07647083357836856,0.7448456369073413,0.06153075220563838,-0.02713377892208191,-0.0999980785933793,0.007160498478788283,-0.08206034622172138,-0.1475367690100409,0.03632703532030328,-0.08068435407884957,-0.1005890260437577,0.04158020164018856,,0.2557071668228725,-0.08176563764677998,-0.08069725673515321,-0.06019442111691797,0.0071850696820066375,-0.08392690523152016,-0.22556128157121397,-0.17149139150930165,-0.07121966822062611,-0.00932072065214392,0.15156833604265665,0.0071604984787881545,-0.046832039132496055
Agricultural Land( %),0.19824611589355876,0.08269439786901676,0.1148549933906014,1.0,-0.10812033863233955,0.04788840786611625,0.06459967201283613,-0.05713911743631903,-0.18600002221772033,0.06108218499109996,0.04150241919949646,0.14144775081972957,0.08606671941341881,0.061068082394504286,-0.4182716786199299,-0.03637621187578643,0.06242647303519073,0.007271504974384442,-0.018300626063253812,0.05937392446593663,-0.12662206565499842,-0.12409648871346794,0.15189699078160973,,0.027177641381465296,0.11561820476878511,0.025975085103281986,0.1256452933754371,-0.07849520819020302,-0.05724399515858666,0.10443138373723318,0.008677358204610429,0.1058520209152669,0.04459546904680337,-0.012511118691437924,0.06242647303519074,0.0875866593646859
Land Area(Km2),-0.06198834259004509,-0.1737160885340148,-0.045739154802889044,-0.10812033863233955,1.0,0.574861845837041,-0.1231681278646684,-0.2676281776997083,-0.020751738567906464,0.586429575908429,0.0481507032133025,0.07726981738599013,-0.0461529433597162,-0.10838481776818698,0.05519960353707887,-0.2048716995856106,0.5529868535559784,-0.005672005481583142,0.2655651604289074,-0.11187484069319897,0.18226195840767268,0.09841165064382869,-0.09163421790490697,,0.1516099547880521,-0.09910505557201214,0.10382317725742579,0.42553930034406884,0.05147203149589141,-0.16987138920763323,0.15877880803373243,0.04711866839290994,0.5330561076563761,0.05856242731826854,0.005849412526730279,0.5529868535559782,0.5159324397116887
Armed Forces size,0.022474478840721877,0.08643132615613335,0.014970819794431545,0.04788840786611625,0.574861845837041,1.0,-0.16720049458780492,-0.2457053764508023,-0.04308884798648022,0.7814062565161491,0.029600489700753643,0.07174020659686421,-0.020507223891956295,-0.16879231281617676,-0.011486546754401455,-0.1460952211761378,0.6401125136862439,0.0308361539536106,0.10874070751786698,-0.061351479497765454,0.08053610188760581,0.08081199593566266,-0.09869177077306399,,0.17138177773052268,0.12655068773058586,-0.02202463536008258,0.9197165194997063,-0.10110804906452227,-0.20810787182194676,0.16792337603696958,0.00031825450094359,0.8936205123557297,0.12333366235038515,0.18705565230604404,0.6401125136862437,0.5810723131267688
Birth Rate,0.030479232603222373,-0.19609916527696825,0.06820801746971142,0.06459967201283613,-0.1231681278646684,-0.16720049458780492,1.0,0.07655501376811615,-0.15064569316574844,-0.17683508661990255,0.2113871773121575,0.21402021835476015,0.40142767042507677,0.981903495232012,-0.03876536576887934,-0.20407706687945357,-0.19569306321006272,0.06974472147030532,-0.7652946582138846,0.8837676564500336,-0.17570147740525066,-0.8761543152219428,0.7792912341607815,,-0.13999440671038443,0.22094132480291312,-0.7365354402500727,-0.07349029855960083,0.23206364742171384,-0.42819796307311736,0.10426667465069746,-0.0760764322495982,-0.12667382048069703,-0.4350607171303987,0.023544046363396895,-0.19569306321006263,-0.4533978685178073
Calling Code,-0.021330339320620586,0.06807200387051257,0.06420173376500607,-0.05713911743631903,-0.2676281776997083,-0.2457053764508023,0.07655501376811615,1.0,-0.02879810738403008,-0.17574478623060044,-0.04337613321598342,-0.038924610378594696,0.0010806075249363304,0.026916468864720704,-0.194747414563573,-0.13764595120485676,-0.19439983916171538,-0.05404231044978002,-0.17244208185778892,-0.04261944755832742,0.011393824907580978,-0.030386070082110462,-0.12079972940366175,,-0.16938089703003736,0.09939465120598771,0.029114662918037958,-0.1861622672804039,-0.0399271212800991,0.004438863395253872,-0.3297880030413765,0.011448464641724132,-0.2139753911041476,0.09745537541017975,0.109028456491398,-0.1943998391617153,-0.3694269663736289
Capital/Major City,-0.023104839618601027,-0.03126751806156903,-0.04339201586908006,-0.18600002221772033,-0.020751738567906464,-0.04308884798648022,-0.15064569316574844,-0.02879810738403008,1.0,-0.030093192973442918,-0.06883922134709183,-0.08148751772250411,0.038691909156509,-0.14512471810325084,0.18926507805569473,0.021273512180153102,0.020895476564765033,0.04584537965303419,0.15600479271368956,-0.0926828410957633,0.6085837296846476,0.07940265886012399,-0.13025060533734092,,-0.09107082337634348,-0.003419180892292615,0.1373911311465716,-0.07361762769356583,0.05217199088213857,0.11252727336949232,-0.1564843642563185,-0.06654847300461582,-0.09028956003319519,0.06544745513179412,0.003484447363770693,0.020895476564765,-0.0414757417586834
Co2-Emissions,-0.012853910523635296,-0.0007603531234081133,-0.02059127070073118,0.06108218499109996,0.586429575908429,0.7814062565161491,-0.17683508661990255,-0.17574478623060044,-0.030093192973442918,1.0,-0.02838138382543001,0.007462816225946333,-0.040113437467857796,-0.1573223120430144,-0.017205982868494087,-0.07815777576735149,0.9180806517384993,-0.017862096645017415,0.16273368178890305,-0.1376011594981343,0.1332891901666366,0.130603382225555,-0.11592651359535383,,0.1468995602359029,-0.059689829983311495,0.05184769755235207,0.8071525407948018,0.016849732394481415,-0.1603483639801924,0.12324928262611602,0.01600096952417567,0.9253667811275152,0.12961565757661403,0.07673120281575355,0.9180806517384994,0.5106264722348728
