Unnamed: 0,Urban_population,Population: Labor force participation (%),Population,GDP_zscore,Tax revenue (%),Out of pocket health expenditure,Physicians per thousand,Maternal mortality ratio,Unemployment rate,Log_GDP
114,2210626,59.7,3225167,-0.2478646770807754,16.8,39.3,2.86,45.0,6.01,23.351756843280544
44,7887156,60.6,10669709,-0.1647519458319959,14.9,14.8,4.12,3.0,1.93,26.230584200653865
36,842933962,68.0,1397715000,6.860322884306868,9.4,32.4,1.98,29.0,4.32,30.622243234004653
60,54123364,55.1,67059887,0.7173445374042712,24.2,6.8,3.27,8.0,8.43,28.630003943998005
86,9213048,39.3,10101694,-0.2371857504313566,15.1,25.1,2.32,46.0,14.72,24.50161257004405
135,1162834,47.2,8776109,-0.2438930526793551,13.6,5.8,0.07,145.0,2.46,23.94092537984349
25,5256027,55.4,6975761,-0.2220890598962582,20.2,47.7,4.03,10.0,4.34,25.17761313319992
80,27783368,43.0,39309783,-0.1691803119858211,2.0,76.5,0.71,79.0,12.82,26.1789887644685
158,1144654,58.4,2087946,-0.2336136419549244,18.6,12.5,3.09,7.0,4.2,24.70746362386304
162,42106719,63.0,51709098,0.4720759122378556,15.6,36.8,2.36,11.0,4.15,28.338564176772227
14,89431,65.2,287025,-0.2509528181379912,27.5,45.2,2.48,27.0,10.33,22.373653735709464
62,1453958,59.4,2347706,-0.2521836590744513,9.4,20.3,0.1,597.0,9.06,21.290747208770405
99,1891013,61.6,2786844,-0.233443171013566,16.9,32.1,6.35,8.0,6.35,24.716303058288798
121,5765513,83.8,28608710,-0.2418667307611101,20.7,60.4,0.75,186.0,1.41,24.145617239680966
49,8787475,64.3,10738958,-0.221038238371141,13.0,43.7,1.56,95.0,5.84,25.211242418931647
75,6999582,56.5,9769949,-0.1953059539777106,23.0,29.0,3.41,12.0,3.4,25.804466190463565
7,1869848,55.6,2957731,-0.2479290018800618,20.9,81.6,4.4,26.0,16.99,23.338674452630165
93,1304943,61.4,1912789,-0.2406249428826958,22.9,41.6,3.19,19.0,6.52,24.253067567785443
109,515980,58.3,1265711,-0.2477476392594978,19.1,50.7,2.53,61.0,6.67,23.375129708546268
74,5626433,68.8,9746117,-0.2438481145040481,17.3,49.1,0.31,65.0,5.39,23.945950219044494
64,64324835,60.8,83132799,1.1210933773561964,11.5,12.5,4.25,7.0,3.04,28.977958562634427
26,6092349,66.4,20321378,-0.2471883896340482,15.0,36.1,0.08,320.0,6.26,23.479840150003906
183,30835699,54.2,44385155,-0.1978732884317616,20.1,47.8,2.99,19.0,8.88,25.75879579878275
63,2196476,68.3,3720382,-0.2464747946395838,21.7,57.3,7.12,25.0,14.4,23.599267942474054
117,11092106,78.1,30366036,-0.2474783634961839,0.0,6.8,0.08,289.0,3.24,23.426917038354865
10,5616165,66.5,10023318,-0.2388065388160068,13.0,78.6,3.45,26.0,5.51,24.39212113922942
79,62509623,44.7,82913906,-0.0937077383566609,7.4,39.7,1.58,16.0,11.38,26.822115733129465
116,22975026,45.3,36910560,-0.2103974784249054,21.9,53.1,0.73,70.0,9.02,25.50007808636724
126,102806948,52.9,200963599,-0.0927162768761341,1.5,72.2,0.38,917.0,8.1,26.828327847654684
45,39095679,63.5,86790567,-0.2359081859830144,10.7,37.4,0.07,473.0,4.24,24.580190934435883
31,14741256,76.1,25876380,-0.2389660692043725,12.8,69.7,0.09,529.0,3.38,24.38066667325139
157,2930419,59.5,5454073,-0.2151501593340115,18.7,18.4,3.42,5.0,5.56,25.38124007282805
166,14957233,48.4,42813238,-0.2460606933635666,8.0,63.2,0.26,295.0,16.53,23.66254862345364
41,2328318,51.2,4067500,-0.2312294751879459,22.0,15.2,3.0,8.0,6.93,24.824512409385274
13,60987417,59.0,167310838,-0.1447158336539032,8.8,71.8,0.58,173.0,4.19,26.435582637525844
178,8099061,46.1,11694719,-0.2389527636406086,21.1,39.8,1.3,43.0,16.02,24.38162705925642
88,14461523,74.7,52573973,-0.2186939434834075,15.1,33.4,0.16,342.0,2.64,25.28242442462219
22,1616550,70.8,2346179,-0.2462613951730272,19.5,5.3,0.37,144.0,18.19,23.632378154477408
136,4359150,72.1,7044636,-0.2391858505135773,10.0,36.5,1.35,129.0,4.81,24.36466809924036
40,4041885,62.1,5047561,-0.2307441702242946,13.6,21.5,2.89,27.0,11.85,24.84674749719789
4,21061025,77.5,31825295,-0.2190039321470225,9.2,33.4,0.21,241.0,6.89,25.273297617890574
28,13176900,57.0,25716544,-0.2318094396246945,11.8,36.0,0.23,617.0,3.32,24.79727512595568
68,8540945,62.3,16604026,-0.2254079094725559,10.6,55.8,0.35,95.0,2.46,25.0633029452791
152,7765706,45.7,16296364,-0.2443901960489095,16.3,44.2,0.07,315.0,6.6,23.88358347565858
8,21844756,65.5,25766605,0.2447415602168415,23.0,19.6,3.68,6.0,5.27,27.962251487469544
185,55908316,62.8,66834405,0.7572134400887911,25.5,14.8,2.81,7.0,3.85,28.67027723087285
171,2545477,42.0,9321018,-0.249914026232467,9.8,63.1,1.7,17.0,11.02,22.8171804853513
164,37927409,57.5,47076781,0.2452544925551791,14.2,24.2,3.87,4.0,13.96,27.96328186149283
94,6084994,47.0,6855713,-0.23374765803929,15.3,32.1,2.1,29.0,6.23,24.700459206457328
90,4207083,73.5,4207083,-0.2046684133149015,1.4,14.4,2.58,12.0,2.18,25.626770152343376
174,400182,67.3,3500000,-0.2522159124684759,25.0,10.2,0.72,142.0,4.55,21.238207159592516
84,1650594,66.0,2948279,-0.2469339241058487,26.8,23.7,1.31,80.0,8.0,23.52408183626376
143,107683889,61.8,144373535,0.3544917895118152,11.4,36.4,4.01,17.0,4.59,28.161576763691045
106,475902,56.5,502653,-0.247531239847369,26.2,37.1,2.86,6.0,3.47,23.41695721262258
186,270663028,62.0,328239523,7.4025432539455425,9.6,11.1,2.61,19.0,14.7,30.695705593475918
177,741944,60.0,1394973,-0.2442036615302488,19.5,37.3,4.17,67.0,2.69,23.90548609375615
77,471031528,49.3,1366417754,0.6800038658055624,11.2,65.1,0.86,145.0,5.36,28.59075440564554
102,3199301,76.7,18628747,-0.2500747675332139,17.3,11.0,0.04,349.0,5.65,22.76015268945619
87,10652915,68.8,18513930,-0.1884484101575478,11.7,38.8,3.25,10.0,4.59,25.917120846482472
170,9358019,44.1,17070135,-0.2383785337689324,14.2,53.7,1.22,31.0,8.37,24.42221952530153
101,10210849,86.1,26969307,-0.2477821289336681,10.2,21.7,0.18,335.0,1.76,23.368298589324752
131,79927762,52.6,216565318,-0.1440624876296136,9.2,66.5,0.98,140.0,4.45,26.441608462933942
61,1949694,52.9,2172579,-0.2468625108000425,10.2,25.9,0.68,252.0,20.0,23.536154030895176
182,10784516,70.3,44269594,-0.2405284718394467,11.7,40.5,0.17,375.0,1.84,24.260951096528576
103,24475766,64.3,32447385,-0.1225188945184701,12.0,36.7,1.51,29.0,3.32,26.62234509649629
110,102626859,60.7,126014024,0.1967273972968799,13.1,41.4,2.38,33.0,3.42,27.86077216328183
187,3303394,64.0,3461734,-0.2327905925781819,20.1,16.2,5.05,17.0,8.73,24.74943706591121
66,8507474,51.8,10716322,-0.1778408618963295,26.2,35.5,5.48,3.0,17.24,26.06967198589128
55,916024,63.6,1331824,-0.241600365271759,20.9,22.8,4.48,9.0,5.11,24.169658037771995
173,35294600,67.3,69625582,-0.0585869585311273,14.9,11.8,0.81,37.0,0.75,27.021571450549462
1,1747593,55.7,2854191,-0.2473554939663942,18.6,56.9,1.2,15.0,12.33,23.44968479123718
92,2555552,78.5,7169455,-0.2463209410448304,12.9,45.4,0.37,185.0,0.63,23.62324898641413
35,16610135,62.6,18952038,-0.1519515458001138,18.2,32.2,2.59,13.0,7.09,26.36630049796192
2,31510100,41.2,43053054,-0.1920830425113837,37.2,28.1,1.72,112.0,11.7,25.858995073943586
37,40827302,68.8,50339443,-0.1371305526066525,14.4,18.3,2.18,83.0,9.71,26.50340055050565
155,3319366,57.9,7813215,-0.2514056601012356,8.6,38.2,0.03,1120.0,4.43,22.094820680873543
175,3414638,77.6,8082366,-0.2508631520957843,16.9,51.0,0.08,396.0,2.04,22.4207108569159
130,4250777,72.4,5266535,-0.2253104802040507,2.5,6.4,2.0,19.0,2.67,25.06685168830665
153,3907243,54.9,6944975,-0.2344471372930101,18.6,40.6,3.11,12.0,12.69,24.6630823466368
142,10468793,54.7,19356544,-0.1634700097913187,14.6,21.3,2.98,19.0,3.98,26.24503648290596
193,7871713,74.6,17861030,-0.2445736019392459,16.2,27.5,1.19,213.0,11.43,23.86157012032645
32,30628482,65.1,36991981,0.3675494687322431,12.8,14.6,2.61,10.0,5.56,28.18284988041035
